SIG_CD,SIG_ENG_NM,SIG_KOR_NM,merged
42110,Chuncheon-si,춘천시,42110
42130,Wonju-si,원주시,42130
42150,Gangneung-si,강릉시,42150
42170,Donghae-si,동해시,42170
42190,Taebaek-si,태백시,42190
42210,Sokcho-si,속초시,42210
42230,Samcheok-si,삼척시,42230
42720,Hongcheon-gun,홍천군,42720
42730,Hoengseong-gun,횡성군,42730
42750,Yeongwol-gun,영월군,42750
42760,Pyeongchang-gun,평창군,42760
42770,Jeongseon-gun,정선군,42770
42780,Cheorwon-gun,철원군,42780
42790,Hwacheon-gun,화천군,42790
42800,Yanggu-gun,양구군,42800
42810,Inje-gun,인제군,42810
42820,Goseong-gun,고성군,42820
42830,Yangyang-gun,양양군,42830
41111,"Jangan-gu, Suwon-si",수원시 장안구,41111
41113,"Gwonseon-gu, Suwon-si",수원시 권선구,41113
41115,"Paldal-gu, Suwon-si",수원시 팔달구,41115
41117,"Yeongtong-gu, Suwon-si",수원시 영통구,41117
41131,"Sujeong-gu, Seongnam-si",성남시 수정구,41131
41133,"Jungwon-gu, Seongnam-si",성남시 중원구,41133
41135,"Bundang-gu, Seongnam-si",성남시 분당구,41135
41150,Uijeongbu-si,의정부시,41150
41171,"Manan-gu, Anyang-si",안양시만안구,41171
41173,"Dongan-gu, Anyang-si",안양시동안구,41173
41190,Bucheon-si,부천시,41190
41210,Gwangmyeong-si,광명시,41210
41220,Pyeongtaek-si,평택시,41220
41250,Dongducheon-si,동두천시,41250
41271,"Sangnok-gu, Ansan-si",안산시상록구,41271
41273,"Danwon-gu, Ansan-si",안산시단원구,41273
41281,"Deogyang-gu, Goyang-si",고양시덕양구,41281
41285,"Ilsandong-gu, Goyang-si",고양시일산동구,41285
41287,"Ilsanseo-gu, Goyang-si",고양시일산서구,41287
41290,Gwacheon-si,과천시,41290
41310,Guri-si,구리시,41310
41360,Namyangju-si,남양주시,41360
41370,Osan-si,오산시,41370
41390,Siheung-si,시흥시,41390
41410,Gunpo-si,군포시,41410
41430,Uiwang-si,의왕시,41430
41450,Hanam-si,하남시,41450
41461,"Cheoin-gu, Yongin-si",용인시처인구,41461
41463,"Giheung-gu, Yongin-si",용인시기흥구,41463
41465,"Suji-gu, Yongin-si",용인시수지구,41465
41480,Paju-si,파주시,41480
41500,Icheon-si,이천시,41500
41550,Anseong-si,안성시,41550
41570,Gimpo-si,김포시,41570
41590,Hwaseong-si,화성시,41590
41610,Gwangju-si,광주시,41610
41630,Yangju-si,양주시,41630
41650,Pocheon-si,포천시,41650
41670,Yeoju-si,여주시,41670
41800,Yeoncheon-gun,연천군,41800
41820,Gapyeong-gun,가평군,41820
41830,Yangpyeong-gun,양평군,41830
48121,"Uichang-gu, Changwon-si",창원시 의창구,48121
48123,"Seongsan-gu, Changwon-si",창원시 성산구,48123
48125,"Masanhappo-gu, Changwon-si",창원시 마산합포구,48125
48127,"Masanhoewon-gu, Changwon-si",창원시 마산회원구,48127
48129,"Jinhae-gu, Changwon-si",창원시 진해구,48129
48170,Jinju-si,진주시,48170
48220,Tongyeong-si,통영시,48220
48240,Sacheon-si,사천시,48240
48250,Gimhae-si,김해시,48250
48270,Miryang-si,밀양시,48270
48310,Geoje-si,거제시,48310
48330,Yangsan-si,양산시,48330
48720,Uiryeong-gun,의령군,48720
48730,Haman-gun,함안군,48730
48740,Changnyeong-gun,창녕군,48740
48820,Goseong-gun,고성군,48820
48840,Namhae-gun,남해군,48840
48850,Hadong-gun,하동군,48850
48860,Sancheong-gun,산청군,48860
48870,Hamyang-gun,함양군,48870
48880,Geochang-gun,거창군,48880
48890,Hapcheon-gun,합천군,48890
47111,"Nam-gu, Pohang-si",포항시 남구,47111
47113,"Buk-gu, Pohang-si",포항시 북구,47113
47130,Gyeongju-si,경주시,47130
47150,Gimcheon-si,김천시,47150
47170,Andong-si,안동시,47170
47190,Gumi-si,구미시,47190
47210,Yeongju-si,영주시,47210
47230,Yeongcheon-si,영천시,47230
47250,Sangju-si,상주시,47250
47280,Mungyeong-si,문경시,47280
47290,Gyeongsan-si,경산시,47290
47720,Gunwi-gun,군위군,47720
47730,Uiseong-gun,의성군,47730
47750,Cheongsong-gun,청송군,47750
47760,Yeongyang-gun,영양군,47760
47770,Yeongdeok-gun,영덕군,47770
47820,Cheongdo-gun,청도군,47820
47830,Goryeong-gun,고령군,47830
47840,Seongju-gun,성주군,47840
47850,Chilgok-gun,칠곡군,47850
47900,Yecheon-gun,예천군,47900
47920,Bonghwa-gun,봉화군,47920
47930,Uljin-gun,울진군,47930
47940,Ulleung-gun,울릉군,47940
29110,Dong-gu,동구,29110
29140,Seo-gu,서구,29140
29155,Nam-gu,남구,29155
29170,Buk-gu,북구,29170
