AGE,TIMEDIFF
62,33
71,109
35,56
18,30
30,44
60,44
81,21
42,39
36,26
36,30
45,179
40,53
33,25
44,134
44,136
44,30
44,69
49,55
64,72
26,42
44,89
58,50
30,27
9,69
52,111
58,25
38,21
52,47
46,43
55,52
58,69
17,52
66,99
40,92
54,21
54,60
34,74
57,112
45,94
49,249
38,89
50,40
24,64
24,63
84,112
10,26
81,332
49,75
58,78
17,30
46,27
63,40
50,108
55,82
32,32
35,118
35,118
35,118
38,73
38,72
69,88
52,181
52,35
68,71
41,25
33,32
44,38
44,38
44,39
30,101
47,21
46,85
43,22
43,21
47,43
49,48
14,119
37,97
53,73
65,38
48,144
30,45
7,177
51,119
59,114
35,33
65,80
50,79
41,88
48,526
58,99
29,82
60,39
60,33
30,70
53,125
48,87
45,121
71,124
5,75
18,80
12,58
76,87
50,23
19,23
19,22
65,36
76,30
64,34
49,34
32,24
44,58
74,95
30,30
2,28
73,75
51,22
49,42
43,186
42,64
43,22
63,104
66,54
11,77
11,77
11,79
40,82
27,38
34,64
3,54
62,36
62,40
47,40
43,40
36,29
27,23
65,35
65,34
65,24
12,26
72,57
17,25
85,47
56,42
35,69
35,67
35,53
70,68
70,69
58,27
55,85
18,25
34,42
44,26
44,43
49,78
44,115
32,117
46,48
54,32
45,23
61,30
7,549
31,28
35,53
46,43
46,230
53,58
53,90
44,96
38,105
5,65
61,28
46,84
3,39
62,33
64,29
63,52
48,36
44,33
18,80
36,54
41,21
70,63
42,50
59,23
11,21
1,281
52,33
60,72
40,152
55,106
37,39
40,33
63,39
73,76
58,48
28,29
32,24
81,35
70,23
3,22
34,23
34,415
44,167
55,24
66,44
63,41
60,35
18,62
69,248
37,56
43,54
37,55
33,31
53,113
25,93
58,78
34,23
47,27
13,47
56,39
37,123
69,41
60,49
59,75
22,190
22,42
44,84
42,104
52,119
64,33
59,103
52,120
52,103
22,85
20,89
52,83
55,85
44,26
8,69
52,39
52,26
45,70
8,21
66,28
18,55
27,68
37,423
40,510
63,63
63,63
55,62
67,46
24,26
41,40
43,43
57,35
36,28
61,56
55,38
59,37
25,62
41,178
32,75
69,22
31,54
55,144
38,42
60,52
76,37
75,74
45,50
46,49
32,26
18,27
63,143
63,26
53,50
37,116
42,100
44,57
51,47
40,26
61,42
37,133
1,43
1,59
52,179
59,161
27,218
49,35
30,59
55,38
40,22
58,61
51,225
50,76
60,36
56,119
56,118
41,86
38,108
38,122
47,116
32,80
50,95
45,72
45,71
45,71
76,64
44,39
44,72
67,98
45,35
40,21
32,39
61,29
36,40
50,44
35,150
49,76
23,45
43,183
43,172
12,57
33,104
33,106
52,27
11,64
44,62
52,83
55,61
54,371
45,24
54,90
33,57
33,56
33,56
57,67
38,48
48,99
48,92
48,95
53,70
24,26
39,59
46,77
36,168
44,36
70,29
45,123
57,104
58,85
35,54
41,91
35,388
85,154
60,149
4,91
2,89
7,116
38,210
59,115
5,198
53,93
52,79
69,100
13,36
28,37
50,51
26,186
37,24
57,46
88,37
88,38
88,39
48,36
55,124
32,57
27,24
28,47
43,33
44,373
73,73
60,53
1,34
27,25
60,184
39,26
62,38
38,26
32,162
34,262
50,409
47,383
16,431
16,431
49,75
47,109
46,117
52,137
49,32
56,189
45,39
47,24
73,50
66,37
38,41
44,74
7,22
18,39
18,41
18,40
55,27
54,43
58,64
58,62
55,32
41,91
10,91
8,91
43,63
55,448
60,38
41,83
46,48
44,43
43,53
8,32
35,87
30,135
30,134
30,127
45,40
53,21
69,72
55,100
53,124
33,100
58,54
35,59
29,72
5,32
66,38
21,47
42,127
64,60
65,80
63,99
55,28
30,31
51,36
31,45
40,252
40,251
40,173
34,271
43,323
55,484
47,54
43,63
40,180
76,39
42,29
47,378
24,68
53,75
78,74
5,27
66,31
56,59
40,31
63,43
3,32
58,72
51,59
72,42
36,70
38,60
34,87
1,37
34,105
34,76
34,104
5,79
55,102
58,74
58,74
50,70
44,90
65,24
62,136
70,94
84,68
52,65
62,24
47,25
55,43
58,174
58,282
36,31
18,35
31,52
76,236
76,272
76,270
76,236
54,33
50,32
36,55
1,35
34,32
75,50
44,22
77,54
42,112
16,477
16,497
50,22
45,153
52,433
19,467
27,33
48,235
48,42
53,41
46,79
25,73
22,23
72,36
61,26
61,29
29,29
29,47
29,64
32,37
46,29
63,74
69,25
48,24
57,64
40,80
47,128
46,61
36,50
31,71
39,58
55,117
57,114
47,221
44,59
74,32
32,54
14,41
42,56
39,108
31,27
31,62
31,60
31,63
39,31
44,106
37,32
10,54
13,34
29,26
50,92
59,84
53,23
63,30
12,55
37,27
12,77
55,66
55,64
55,63
39,495
33,91
73,75
52,94
2,65
7,41
76,194
44,62
35,105
51,29
22,21
40,76
34,29
30,53
32,79
40,29
40,27
53,52
55,215
55,214
55,212
55,214
77,103
9,89
10,90
59,30
5,62
47,111
40,48
62,81
74,94
72,30
60,117
49,94
66,78
33,78
53,31
58,61
53,42
16,24
13,83
75,70
72,45
28,29
1,69
49,30
48,102
49,59
39,237
56,135
51,121
36,46
49,44
31,27
31,25
31,21
47,38
74,36
45,24
48,87
22,53
47,39
59,22
38,89
1,23
41,25
47,155
32,317
18,208
55,471
48,481
65,24
37,35
65,68
5,42
49,69
32,23
70,81
70,81
37,143
25,486
25,62
76,102
39,62
27,397
27,395
27,394
27,393
27,392
24,400
24,300
32,60
56,57
45,129
45,29
62,58
64,99
65,23
65,24
41,55
35,41
27,45
47,100
47,30
69,39
44,25
55,83
49,119
49,104
44,47
41,57
55,51
13,27
24,53
49,54
75,283
40,83
40,33
60,62
55,43
13,55
13,40
10,38
54,22
42,84
1,46
41,63
51,35
10,83
35,107
45,43
18,50
78,145
37,93
49,70
44,29
2,36
38,102
63,124
54,108
41,54
33,114
18,47
32,25
32,31
37,26
41,59
46,74
44,37
50,110
68,45
37,33
58,47
38,27
51,35
26,87
34,51
62,52
58,25
78,47
13,59
16,36
61,25
47,44
30,27
69,36
55,57
48,78
43,30
24,21
34,31
1,40
31,51
33,23
21,43
59,99
33,72
60,23
33,48
53,44
41,114
55,69
25,61
45,108
39,83
49,47
40,36
47,249
52,65
45,84
45,50
62,40
40,540
50,62
49,88
41,51
72,34
66,116
19,69
19,71
7,45
52,35
19,38
40,75
7,64
40,35
8,36
5,34
76,54
47,107
51,59
51,286
49,93
41,47
9,34
46,76
56,63
4,28
49,100
59,24
49,121
47,78
38,44
10,57
39,65
36,90
51,25
51,84
36,95
35,58
43,32
14,53
14,52
14,50
10,36
45,71
21,58
6,42
55,36
4,30
52,42
61,21
4,32
4,35
70,63
33,22
61,52
56,64
13,85
39,94
38,133
41,77
43,314
52,32
47,371
53,177
48,31
53,62
43,32
63,48
44,71
34,113
73,29
61,44
12,144
12,138
35,81
37,50
34,45
41,69
61,65
45,44
49,30
76,228
49,44
35,52
40,92
53,52
41,57
53,82
61,67
62,30
51,116
39,23
40,31
29,31
51,114
16,48
16,47
3,55
60,21
45,66
12,50
51,36
58,40
10,43
44,109
36,74
13,52
53,23
60,35
43,29
14,63
38,105
38,142
35,75
13,48
55,35
33,34
39,27
49,37
37,388
45,418
62,380
62,40
32,43
62,64
78,36
55,133
40,221
57,495
74,36
57,304
63,358
55,420
63,108
59,65
35,79
45,112
37,58
37,56
37,54
57,21
35,59
60,24
60,23
53,36
68,106
32,21
8,27
61,66
61,44
22,22
22,21
59,76
41,41
27,50
44,53
39,25
60,43
72,71
47,32
75,44
49,67
50,270
41,30
37,21
17,40
17,39
17,33
54,248
36,26
45,32
45,137
16,28
42,30
37,205
32,204
45,204
1,23
18,36
40,37
18,26
18,26
18,24
35,21
56,22
56,22
62,21
49,34
47,23
74,64
41,100
59,59
40,133
38,44
74,23
46,98
51,28
35,64
13,72
9,72
43,69
7,125
4,27
37,54
59,50
4,40
26,41
45,234
31,69
31,65
27,61
10,55
8,80
33,78
49,69
56,26
56,44
41,27
38,21
56,66
55,66
53,57
18,107
56,55
45,22
40,57
61,64
44,42
46,35
50,57
58,79
44,72
9,54
9,51
9,55
35,27
50,80
67,64
47,21
44,53
30,22
45,74
50,27
7,36
30,30
42,112
14,36
53,49
34,78
51,54
45,23
49,60
36,24
60,31
37,105
37,114
37,111
61,82
30,23
36,45
52,144
66,28
58,54
45,146
37,21
35,32
48,36
4,22
42,54
37,50
16,49
9,33
56,91
69,46
32,55
71,61
24,25
34,73
20,84
31,157
31,155
31,149
13,164
52,298
52,34
26,42
56,29
36,22
5,45
48,421
48,32
37,47
41,102
8,45
21,71
74,86
43,106
74,75
70,102
29,38
36,28
30,125
37,87
29,35
29,32
44,43
58,55
50,52
41,37
11,32
12,186
43,26
32,55
6,108
34,41
42,79
54,76
54,58
76,204
41,68
5,76
2,58
33,28
49,69
91,297
44,54
64,21
68,106
55,102
43,25
11,78
66,81
66,36
44,70
44,69
44,67
10,77
63,24
33,40
55,44
43,100
55,90
37,23
69,42
37,31
9,50
37,28
53,32
37,64
51,24
51,25
38,71
37,100
37,28
51,26
68,66
45,34
44,66
41,21
42,31
7,77
7,76
41,74
29,393
60,26
56,286
24,27
68,141
72,71
72,62
44,80
31,63
47,30
35,36
35,35
17,38
28,223
46,105
30,299
38,65
37,51
62,80
39,119
77,57
57,25
46,42
36,63
67,105
51,80
28,78
17,59
51,77
14,141
14,136
14,100
40,68
40,44
5,36
12,86
29,208
2,45
43,42
56,21
5,82
9,38
9,33
38,66
64,64
53,48
46,39
41,34
31,40
62,58
38,90
35,30
72,41
64,161
64,161
41,62
47,35
45,51
66,28
38,39
68,28
55,560
55,63
42,46
64,190
61,117
61,113
61,33
41,28
41,52
46,24
72,36
44,117
45,23
61,22
63,28
22,462
11,40
41,106
6,86
59,24
59,23
59,22
79,63
35,39
70,30
62,47
56,24
4,34
11,46
36,42
11,231
54,138
54,39
55,37
34,69
41,92
31,47
56,55
43,44
70,40
70,35
70,37
45,22
39,35
47,47
20,52
20,428
59,57
47,54
59,56
63,53
50,26
36,44
63,50
53,74
10,67
33,33
13,95
55,45
31,26
71,141
5,47
35,28
30,107
76,59
49,79
38,67
26,56
44,87
78,53
61,52
51,45
49,34
65,51
11,354
11,218
59,21
59,24
86,35
43,43
48,68
59,68
60,150
60,107
48,28
48,38
48,39
53,51
55,79
7,46
43,33
73,29
39,53
37,34
49,24
46,49
43,37
41,42
58,34
49,29
1,84
46,43
40,41
44,41
52,26
67,27
73,138
73,136
43,88
12,48
10,48
18,55
40,314
33,56
65,64
65,63
4,83
8,89
58,81
48,22
54,90
36,69
73,28
12,108
55,54
1,27
13,55
59,33
65,50
38,37
53,35
59,29
6,43
6,23
76,129
35,126
56,54
5,34
7,56
44,48
60,41
46,530
46,25
49,38
42,32
56,317
34,61
72,73
29,282
51,35
38,85
63,47
63,46
36,444
14,509
36,33
45,194
48,373
50,390
17,405
43,506
35,26
39,29
38,191
59,34
39,73
32,190
22,25
50,87
3,75
56,61
72,92
26,63
20,268
49,41
36,53
52,65
36,70
1,67
42,88
32,34
49,119
49,121
29,21
56,235
40,60
40,33
49,60
31,36
76,22
46,56
54,52
68,92
42,48
19,78
31,88
7,85
57,80
58,103
12,197
10,195
46,38
53,27
43,44
44,331
35,53
18,64
66,30
74,88
62,64
59,143
46,112
31,95
50,25
32,78
1,24
27,41
42,45
60,76
74,21
2,65
52,169
52,81
34,88
34,88
51,32
65,94
71,134
42,525
42,523
42,471
8,409
8,526
47,27
42,174
44,63
60,76
44,40
40,28
56,21
58,49
58,45
58,43
59,46
51,38
51,37
20,34
41,163
31,38
35,50
17,61
13,129
18,28
18,40
18,33
56,21
63,30
44,46
35,44
40,32
45,53
45,51
13,63
55,352
43,406
55,30
51,438
51,44
53,33
75,44
42,54
63,75
63,74
81,114
63,77
22,28
40,25
69,238
29,68
48,96
38,102
38,47
53,54
48,74
48,71
48,68
57,22
35,118
47,26
46,38
47,51
35,65
61,52
6,83
1,35
55,45
76,22
43,41
1,31
78,75
40,63
40,30
54,21
46,30
2,73
39,55
55,63
55,63
55,60
55,59
20,134
40,82
45,63
41,66
40,195
58,83
52,34
46,22
61,93
38,21
55,67
40,203
40,179
40,118
37,53
48,39
48,37
69,37
75,26
52,29
43,62
53,36
52,46
28,55
10,31
39,72
32,166
52,496
40,48
29,98
29,23
57,29
2,54
19,43
45,47
41,91
52,216
4,27
57,38
56,52
38,90
40,56
32,160
47,441
44,360
55,443
30,163
49,320
46,479
45,26
38,69
41,68
47,33
75,44
66,41
44,63
20,138
1,31
37,438
55,488
42,78
39,26
53,425
53,423
53,369
81,104
55,28
53,49
5,87
44,177
55,280
47,361
49,111
45,150
45,71
52,418
37,478
66,62
47,56
65,38
41,28
43,136
11,21
43,235
14,45
49,52
49,35
49,38
59,24
48,30
59,26
63,80
63,80
63,82
47,109
51,41
34,35
55,98
7,33
9,34
44,35
54,25
51,25
33,22
8,29
7,25
49,72
32,72
36,57
51,54
31,95
52,39
72,35
65,50
65,21
34,49
35,26
86,22
31,70
52,57
35,145
35,145
27,81
27,82
56,60
17,68
36,29
56,92
56,91
1,70
68,51
23,79
31,506
45,22
59,93
81,466
74,110
74,105
64,182
46,153
43,49
43,44
43,43
66,23
55,33
58,29
1,30
32,187
54,54
44,34
43,393
57,36
57,22
57,494
47,66
66,24
65,50
44,24
48,151
64,31
38,51
38,47
36,33
58,62
32,33
59,66
72,71
72,69
27,71
31,55
59,70
61,102
61,94
44,95
61,95
16,38
62,64
38,22
5,103
54,85
52,59
40,27
54,74
28,37
57,30
62,27
3,44
48,40
44,43
62,33
68,50
12,35
7,26
46,21
1,38
4,23
46,24
59,69
65,285
55,123
69,232
47,28
48,58
48,33
75,80
56,60
34,46
19,111
19,62
39,38
30,35
17,109
13,42
42,23
45,98
1,43
36,40
46,28
54,46
53,70
76,49
41,74
44,28
57,44
59,29
18,59
18,58
60,32
11,71
41,53
49,23
12,61
36,38
58,41
46,38
11,121
52,32
45,144
52,361
65,267
13,471
32,27
43,21
42,45
44,25
61,28
48,86
43,498
62,33
22,143
60,77
46,357
46,78
33,93
30,31
44,132
44,131
72,38
72,36
72,36
28,45
38,54
58,41
51,85
58,54
10,102
5,55
55,43
76,29
76,28
76,422
76,95
76,418
76,417
46,27
49,429
37,37
19,30
5,61
9,83
67,96
42,98
39,72
24,45
37,74
5,22
67,36
50,31
72,35
76,55
33,25
57,411
57,27
78,72
5,307
56,62
43,35
62,72
2,30
66,45
43,26
77,40
49,36
46,21
44,25
6,29
73,42
58,35
36,48
10,23
39,32
13,39
13,30
38,41
47,60
47,58
56,35
50,54
5,28
56,85
5,57
36,25
10,124
56,73
57,93
15,78
55,40
51,83
20,197
52,490
9,38
49,303
49,302
49,302
49,298
49,301
49,299
49,298
49,297
49,296
79,58
61,58
10,52
41,67
45,28
49,49
42,23
55,210
42,23
61,35
73,36
61,96
58,79
59,29
9,33
34,94
57,28
53,123
54,33
49,36
49,58
49,53
49,56
1,21
64,30
40,41
27,135
11,60
51,32
42,62
42,48
29,36
4,26
4,27
4,23
23,203
10,45
44,69
47,90
10,129
45,74
42,93
46,80
35,52
3,83
44,85
46,36
13,25
38,108
9,70
48,33
50,65
31,31
63,73
44,42
43,26
78,101
63,86
35,29
55,45
1,26
45,28
78,92
55,70
9,63
78,140
78,54
78,53
78,147
6,63
1,65
6,59
5,21
68,46
52,40
47,51
48,166
15,63
31,48
22,58
52,24
60,66
53,95
53,55
53,28
76,84
74,45
28,40
60,23
43,30
48,33
47,24
39,32
84,29
42,56
76,46
57,48
40,308
64,38
33,25
33,23
40,93
3,48
68,26
10,29
10,28
10,30
63,23
45,32
61,29
31,38
45,33
63,37
47,31
75,31
45,21
43,45
46,42
28,155
74,62
74,59
61,33
35,120
62,27
45,47
6,82
44,83
40,27
46,23
