AGE,ORDERTIME
62,16
35,53
18,18
60,21
36,21
36,21
40,45
33,19
44,15
44,15
44,15
44,15
49,49
26,29
58,35
55,13
58,19
40,22
54,15
57,29
45,23
50,29
17,23
46,21
63,27
50,10
32,26
35,17
35,17
68,11
41,19
33,25
44,19
44,19
44,19
30,37
47,14
46,43
65,34
51,18
35,19
65,13
50,22
48,13
60,21
60,21
18,11
50,19
19,14
19,14
65,30
49,10
32,16
44,13
74,49
30,25
73,19
51,11
49,17
43,15
42,15
43,17
63,39
11,35
11,35
11,35
3,49
47,33
72,12
17,20
56,22
55,34
49,49
44,30
54,10
53,15
61,20
62,25
64,21
63,23
48,30
18,15
36,44
41,15
59,10
37,13
40,24
73,59
32,18
70,18
34,14
34,14
60,17
43,35
37,48
53,13
25,56
58,26
34,14
47,20
56,13
69,14
59,11
22,28
22,28
44,47
64,19
52,26
8,43
52,14
52,14
45,44
66,18
18,12
63,36
24,15
57,29
36,23
61,32
55,18
59,31
25,44
69,18
31,13
55,11
38,15
76,31
75,48
45,43
46,43
63,18
51,26
49,28
55,17
58,10
51,27
60,20
56,32
76,26
44,27
44,25
45,16
32,36
36,30
50,38
49,35
23,10
43,14
55,56
54,47
33,48
33,48
33,48
57,56
38,35
53,59
39,22
45,51
35,40
41,13
60,17
7,48
59,25
37,10
88,18
88,18
88,18
48,27
27,14
28,15
43,28
27,13
39,20
62,34
52,29
49,10
73,43
66,29
18,19
18,19
18,19
55,13
60,16
41,56
35,16
30,12
30,12
30,12
69,55
55,11
58,27
35,24
66,18
21,12
42,42
55,20
51,30
31,13
42,25
24,14
66,18
63,27
58,12
1,32
58,54
50,30
44,11
84,46
47,20
36,29
31,44
76,39
54,25
50,21
44,12
50,17
48,17
29,14
29,14
29,14
69,16
40,17
36,20
39,31
44,27
29,15
59,22
53,12
55,56
55,56
55,56
73,13
52,43
2,25
51,24
22,17
40,35
34,24
53,13
55,11
55,11
55,11
9,18
10,14
59,18
40,35
74,14
72,11
