AGE,AMT1
62,34300
71,27900
35,6400
18,76400
0,13300
30,8500
61,9100
60,65800
81,6400
42,6400
36,6400
36,10000
45,271900
40,78900
39,127900
52,78900
33,6400
44,-23600
44,20200
44,23600
44,3000
50,6400
49,6400
42,12600
38,256400
64,12600
26,228300
44,12600
29,6400
53,12300
58,6400
30,8500
0,14400
9,12700
36,6400
52,6200
52,262100
58,61900
62,6400
38,22100
52,106400
46,13200
44,106400
1,8000
55,58800
58,279000
17,14100
34,12300
66,114900
53,6400
40,279000
54,258500
54,185400
34,22900
57,13300
45,18900
49,272000
49,163400
38,34900
50,27400
24,8000
24,8000
24,-8000
84,88400
51,10000
10,61900
81,-239800
81,239800
49,94800
58,276300
49,231400
17,69400
30,6400
39,127900
33,26400
46,6400
54,103900
63,6400
50,35600
55,84300
32,76400
35,22000
35,48900
35,14300
38,3800
38,35600
69,26300
52,-26400
52,26400
68,276300
34,10300
41,9800
67,6400
33,6400
44,-16400
44,16400
44,18500
41,6400
44,12600
30,127900
30,256400
47,78900
46,44600
43,114400
43,-126400
43,126400
64,6400
59,101800
49,6400
47,8500
67,79100
33,78900
49,11400
14,74800
84,6400
13,6400
37,71900
67,76400
53,63600
65,6400
48,88400
30,258500
7,25200
51,48400
59,26300
35,8500
65,84300
50,26300
41,28200
48,8500
58,36900
29,21900
60,20000
60,17400
30,25900
53,286400
48,258500
45,73400
36,6400
45,6400
71,6400
5,35100
51,78900
67,72100
59,106400
18,6400
12,41400
46,79100
76,16400
40,9100
50,12600
19,3000
19,31990
38,12600
65,21400
57,78900
76,29400
64,6400
49,122600
65,74500
32,10300
44,100000
74,27400
60,9000
30,100100
2,9800
73,342300
51,6400
49,65800
43,6400
42,6400
43,78900
63,77300
67,6400
45,79100
66,14100
56,6400
11,-73400
11,73400
11,68540
59,4500
64,8500
40,137400
27,48200
34,12200
3,4600
62,24200
52,256400
62,36600
24,61400
47,6400
1,9000
18,106400
40,76400
43,90800
84,202900
36,271200
27,117400
65,137900
65,-137900
65,137900
12,13100
72,9100
33,78900
17,12300
85,12000
7,256400
38,6400
56,127900
13,6400
35,94500
35,-104500
35,94500
70,-256400
70,340500
70,256400
58,127900
47,78900
39,96400
55,65800
48,6400
18,13100
34,24500
52,6400
48,272000
43,7200
44,279000
44,31700
49,6400
46,76400
37,6400
44,61300
32,6400
42,6400
54,6400
46,6400
54,62400
45,61900
60,7400
61,23100
7,19800
59,11100
75,2700
75,67500
31,228300
35,39000
44,20900
44,256400
46,472800
46,101000
53,76400
46,79100
51,6400
53,8500
53,14200
44,30100
38,6400
5,50300
58,6400
61,6400
46,20800
3,15100
62,6400
64,6400
30,52800
37,78900
63,26400
48,6400
44,106400
18,12300
47,108900
36,6400
41,78900
50,79100
49,12600
60,6400
70,78900
42,241300
44,6400
64,64800
60,78900
60,-78900
60,78900
59,7600
11,12200
40,16400
1,10600
52,13100
60,76400
40,101800
55,109100
16,6400
37,65800
18,6400
40,14700
63,41700
31,6400
73,9500
73,6400
40,10900
58,51300
28,13600
28,12300
35,11000
61,11900
32,11400
81,23700
70,10200
3,46700
34,18100
34,67500
34,800
44,98100
55,38200
66,23250
63,56400
60,19900
18,121500
18,256400
37,13900
59,256400
59,10000
69,-256400
69,256400
37,71900
40,256400
43,6400
37,13900
43,6400
33,13100
53,6400
25,127900
59,60700
58,44300
34,76400
47,9400
13,10700
56,127900
37,21900
69,32500
33,71800
60,11600
59,22900
22,-48700
22,48700
44,12400
42,215900
52,93300
64,8500
59,72600
52,72600
52,20100
22,25900
20,6400
52,31800
55,77300
44,135800
8,6400
42,11400
64,6400
52,3000
52,7400
45,258500
8,12200
66,23250
39,6400
18,6400
27,11400
37,101800
40,101800
54,76400
51,6400
63,127900
63,12200
38,12600
59,106400
55,129900
62,79900
67,456400
67,59500
24,7200
41,16300
43,40900
57,9100
36,9100
61,6400
55,62600
57,6400
59,6400
45,18400
25,26400
41,12300
12,16300
64,6400
32,88900
64,69400
69,6400
31,75600
55,19700
38,268500
60,12100
76,12600
75,6400
45,23300
40,106400
46,13800
32,85200
18,6400
18,6400
46,15700
63,8500
63,10400
53,6400
3,32900
43,6400
37,18000
64,64800
42,91800
62,78900
44,42200
41,12600
51,61900
41,67300
40,85600
48,30000
61,81100
44,13200
14,64800
37,71800
1,19400
1,4000
52,91800
59,128000
27,101800
59,13200
49,9100
48,127900
30,127900
55,8500
40,25000
58,26400
37,76400
51,281700
50,69300
22,12600
59,6400
60,6400
65,9100
56,30100
56,8500
41,34900
38,71900
38,270500
47,96100
32,15300
50,13500
45,76150
45,-81300
45,81300
76,107500
44,13600
44,6400
44,84300
52,10000
67,77100
32,71800
45,12000
40,78900
32,6400
61,7200
51,6400
60,74300
36,6400
50,12600
35,94500
49,21900
23,14100
43,9000
43,18000
12,48700
33,-266300
33,390600
33,266300
41,78900
52,59400
11,33100
44,35100
52,88400
55,20000
50,29000
42,9100
61,6400
54,6400
45,26400
54,6400
33,12600
33,-14700
33,14700
57,12600
38,6400
78,6400
48,10000
48,256400
48,10000
48,-10000
53,62100
24,29000
39,127500
37,256400
46,76400
40,28400
49,276300
49,-526300
36,18000
44,115750
70,122500
19,96400
45,109700
57,23800
58,101600
35,256400
41,29100
35,264100
35,20000
85,124700
60,21200
2,6200
4,8200
2,4600
7,61400
38,75200
59,77900
5,15200
53,16400
67,8500
52,21900
69,6400
13,22900
28,271900
50,48000
26,29000
37,22500
40,9800
57,29200
60,21400
88,23400
88,-23400
88,23400
48,6400
44,20000
44,256400
55,101800
32,81000
29,8500
27,81200
28,61900
67,6400
59,6400
43,6400
44,101800
36,10700
73,106400
60,78900
65,6400
37,358700
1,8000
27,6400
60,101800
39,78900
62,6400
62,78900
64,78900
38,101800
32,101800
34,104800
50,101800
47,101800
16,91800
16,91800
49,106400
47,101800
46,101800
52,121700
36,6400
49,45900
26,6400
56,255800
45,271200
47,65800
73,6400
66,15990
38,107700
44,26400
7,6400
7,10700
18,96400
18,87400
18,-96400
55,6400
54,70000
58,74300
58,78900
58,-74300
12,15200
55,12000
41,25450
10,6400
8,21400
43,101600
55,101800
60,376400
41,40700
46,19900
44,8500
43,85600
8,270100
44,9100
50,6400
35,122400
30,87700
30,-89900
30,89900
45,110050
53,246300
32,26400
69,15400
55,51900
53,50400
37,15000
33,137400
58,10000
37,12200
35,13800
18,6400
29,83500
16,127900
54,78900
43,6400
5,9000
66,328900
21,31800
42,21900
64,95500
65,124500
63,35600
59,11100
55,1500
30,231400
30,109300
73,19300
51,78900
56,256400
31,75600
62,258500
13,256400
40,106400
40,-101800
40,101800
34,101800
43,101800
55,101800
47,101800
43,101800
9,39000
40,20100
76,14100
42,6400
47,101800
24,81300
53,14800
45,6400
78,125700
54,71800
36,22200
5,9800
66,78900
56,29000
48,101800
40,130500
63,1100
64,267600
48,267600
65,256400
3,20600
58,75600
51,8500
51,274600
67,71800
72,19200
36,21900
38,20100
34,279000
1,4600
34,24400
34,94400
34,-94400
5,19600
11,4500
56,8500
55,20100
25,17100
58,55400
58,122600
50,26400
44,279000
65,34600
43,6400
62,94850
70,29000
84,65800
52,29000
31,6400
62,13100
62,78900
47,71900
56,78900
55,12200
57,6400
58,6400
58,10000
36,71900
1,9000
18,110500
31,10300
44,115750
76,426300
76,25600
76,-25600
76,25600
54,158500
50,158500
36,98400
1,17900
34,14100
75,270800
44,80000
77,29000
42,32200
16,91800
16,3000
47,101800
50,79100
45,101800
52,91800
19,101800
27,74900
48,50900
48,17600
53,34900
46,16400
46,79900
49,7400
25,30000
60,9000
24,8000
39,78900
22,88400
72,107500
61,250000
61,6400
40,9400
29,28000
29,-28000
29,28000
32,21100
52,78900
46,250000
63,45700
69,6400
39,7500
49,18500
48,43900
57,276300
40,22900
47,20300
46,11900
36,94400
31,26100
38,11200
39,258500
55,101800
55,101800
57,101800
47,101800
44,20100
74,250000
32,14200
14,37100
42,27400
39,20500
31,335100
31,334100
31,-335100
31,1000
39,272900
44,82300
37,37800
10,37790
13,23300
29,17200
50,465100
50,101100
59,6400
53,6400
63,15200
12,20900
37,20100
12,46600
55,1500
55,-1500
55,1500
39,101800
33,13600
51,9300
73,110400
52,14300
58,71800
2,10600
74,273600
