SIG_KOR_NM,총인구수,남자인구수,여자인구수,SIG_CD
종로구,144543,70117,74426,11110
중구,122315,59510,62805,11140
용산구,222573,107050,115523,11170
성동구,285516,139135,146381,11200
광진구,340002,163993,176009,11215
동대문구,337419,166657,170762,11230
중랑구,387598,191221,196377,11260
성북구,430074,207333,222741,11290
강북구,298727,145500,153227,11305
도봉구,317150,154326,162824,11320
노원구,510805,245896,264909,11350
은평구,473122,226269,246853,11380
서대문구,305113,145759,159354,11410
마포구,368617,173323,195294,11440
양천구,446895,219023,227872,11470
강서구,574001,276132,297869,11500
구로구,396515,195351,201164,11530
금천구,230881,116487,114394,11545
영등포구,376949,185964,190985,11560
동작구,385478,186452,199026,11590
관악구,485610,243967,241643,11620
서초구,411539,196611,214928,11650
강남구,533173,255107,278066,11680
송파구,658859,317556,341303,11710
강동구,462452,226892,235560,11740
중구,40537,19762,20775,26110
서구,104863,50735,54128,26140
동구,87906,42975,44931,26170
영도구,110425,54372,56053,26200
부산진구,352462,169873,182589,26230
동래구,270338,131400,138938,26260
남구,261209,127568,133641,26290
북구,282535,139412,143123,26320
해운대구,395788,190236,205552,26350
사하구,305922,152112,153810,26380
금정구,226875,110929,115946,26410
강서구,143098,74123,68975,26440
연제구,207342,99861,107481,26470
수영구,174867,82492,92375,26500
사상구,207772,104769,103003,26530
기장군,176935,87588,89347,26710
중구,74786,35926,38860,27110
동구,341710,167954,173756,27140
서구,164127,82007,82120,27170
남구,142753,68566,74187,27200
북구,437023,217416,219607,27230
수성구,416706,201531,215175,27260
달서구,544366,268134,276232,27290
달성군,262387,133133,129254,27710
중구,144088,74902,69186,28110
동구,61222,30841,30381,28140
미추홀구,407353,205146,202207,28177
연수구,389263,193216,196047,28185
남동구,517894,257279,260615,28200
부평구,486445,240164,246281,28237
계양구,295450,147196,148254,28245
서구,557342,281427,275915,28260
강화군,69748,34896,34852,28710
옹진군,20345,11596,8749,28720
동구,103466,51014,52452,29110
서구,291235,142697,148538,29140
남구,215739,103653,112086,29155
북구,426877,211893,214984,29170
광산구,404319,203780,200539,29200
동구,221592,111632,109960,30110
중구,229555,113073,116482,30140
서구,473019,232482,240537,30170
유성구,351622,177638,173984,30200
대덕구,175484,89201,86283,30230
중구,212502,107574,104928,31110
남구,313427,159866,153561,31140
동구,153975,80358,73617,31170
북구,219121,113418,105703,31200
울주군,222075,114723,107352,31710
세종시,374377,186907,187470,36110
장안구,273399,137537,135862,41111
권선구,367044,185404,181640,41113
팔달구,181990,91763,90227,41115
영통구,361971,181521,180450,41117
수정구,235887,119515,116372,41131
중원구,210344,106563,103781,41133
분당구,484841,235173,249668,41135
의정부시,484841,235173,249668,41150
만안구,237288,118729,118559,41171
동안구,311366,152562,158804,41173
