ACCOUNTDATE,CNT
2018-03-05,170
2018-03-06,174
2018-03-07,151
2018-03-08,162
2018-03-09,165
2018-03-10,137
2018-03-11,7
2018-03-12,162
2018-03-13,159
2018-03-14,157
2018-03-15,142
2018-03-16,147
2018-03-17,146
2018-03-18,14
2018-03-19,190
2018-03-20,166
2018-03-21,175
2018-03-22,140
2018-03-23,153
2018-03-24,162
2018-03-25,6
2018-03-26,178
2018-03-27,126
2018-03-28,152
2018-03-29,119
2018-03-30,158
2018-03-31,155
2018-04-01,7
2018-04-02,168
2018-04-03,175
2018-04-04,173
2018-04-05,155
2018-04-06,149
2018-04-07,138
2018-04-08,5
2018-04-09,189
2018-04-10,198
2018-04-11,175
2018-04-12,133
2018-04-13,139
2018-04-14,119
2018-04-15,7
2018-04-16,201
2018-04-17,156
2018-04-18,163
2018-04-19,166
2018-04-20,184
2018-04-21,111
2018-04-22,5
2018-04-23,209
2018-04-24,169
2018-04-25,169
2018-04-26,169
2018-04-27,183
2018-04-28,130
2018-04-29,9
2018-04-30,222
