ACCOUNTDATE,CNT
2018-01-01,205
2018-01-02,931
2018-01-03,778
2018-01-04,765
2018-01-05,863
2018-01-06,610
2018-01-07,119
2018-01-08,924
2018-01-09,817
2018-01-10,642
2018-01-11,671
2018-01-12,689
2018-01-13,593
2018-01-14,117
2018-01-15,929
2018-01-16,740
2018-01-17,665
2018-01-18,674
2018-01-19,754
2018-01-20,587
2018-01-21,78
2018-01-22,884
2018-01-23,669
2018-01-24,646
2018-01-25,692
2018-01-26,615
2018-01-27,566
2018-01-28,86
2018-01-29,847
2018-01-30,759
2018-01-31,675
2018-02-01,623
2018-02-02,712
2018-02-03,543
2018-02-04,73
2018-02-05,804
2018-02-06,596
2018-02-07,687
2018-02-08,674
2018-02-09,718
2018-02-10,583
2018-02-11,64
2018-02-12,847
2018-02-13,768
2018-02-14,821
2018-02-15,120
2018-02-16,146
2018-02-17,137
2018-02-18,101
2018-02-19,954
2018-02-20,787
2018-02-21,733
2018-02-22,651
2018-02-23,697
2018-02-24,584
2018-02-25,66
2018-02-26,956
2018-02-27,774
2018-02-28,764
2018-03-01,102
2018-03-02,919
2018-03-03,543
2018-03-04,71
2018-03-05,934
2018-03-06,721
2018-03-07,734
2018-03-08,662
2018-03-09,754
2018-03-10,554
2018-03-11,73
2018-03-12,965
2018-03-13,780
2018-03-14,738
2018-03-15,640
2018-03-16,731
2018-03-17,575
2018-03-18,67
2018-03-19,785
2018-03-20,684
2018-03-21,630
2018-03-22,691
2018-03-23,715
2018-03-24,562
2018-03-25,80
2018-03-26,824
2018-03-27,747
2018-03-28,700
2018-03-29,661
2018-03-30,696
2018-03-31,605
2018-04-01,73
2018-04-02,861
2018-04-03,692
2018-04-04,695
2018-04-05,684
2018-04-06,677
2018-04-07,531
2018-04-08,79
2018-04-09,869
2018-04-10,773
2018-04-11,716
2018-04-12,662
2018-04-13,729
2018-04-14,528
2018-04-15,76
2018-04-16,848
2018-04-17,763
2018-04-18,698
2018-04-19,753
2018-04-20,700
2018-04-21,555
2018-04-22,85
2018-04-23,885
2018-04-24,796
2018-04-25,712
2018-04-26,752
2018-04-27,830
2018-04-28,585
2018-04-29,87
2018-04-30,938
2018-05-01,574
2018-05-02,856
2018-05-03,836
2018-05-04,1019
2018-05-05,146
2018-05-06,71
2018-05-07,686
2018-05-08,915
2018-05-09,832
2018-05-10,856
2018-05-11,904
2018-05-12,700
2018-05-13,77
2018-05-14,1011
2018-05-15,795
2018-05-16,690
2018-05-17,771
2018-05-18,784
2018-05-19,737
2018-05-20,75
2018-05-21,1147
2018-05-22,107
2018-05-23,911
2018-05-24,782
2018-05-25,1030
2018-05-26,748
2018-05-27,85
2018-05-28,984
2018-05-29,827
2018-05-30,856
2018-05-31,839
2018-06-01,810
2018-06-02,736
2018-06-03,98
2018-06-04,1004
2018-06-05,945
2018-06-06,109
2018-06-07,937
2018-06-08,907
2018-06-09,701
2018-06-10,82
2018-06-11,936
2018-06-12,849
2018-06-13,447
2018-06-14,857
2018-06-15,916
2018-06-16,650
2018-06-17,74
2018-06-18,923
2018-06-19,756
2018-06-20,829
2018-06-21,765
2018-06-22,936
2018-06-23,693
2018-06-24,95
2018-06-25,1030
2018-06-26,672
2018-06-27,807
2018-06-28,781
2018-06-29,807
2018-06-30,729
2018-07-01,74
2018-07-02,942
2018-07-03,718
2018-07-04,734
2018-07-05,843
2018-07-06,763
2018-07-07,599
2018-07-08,76
2018-07-09,864
2018-07-10,782
2018-07-11,783
2018-07-12,742
2018-07-13,826
2018-07-14,704
2018-07-15,95
2018-07-16,884
2018-07-17,699
2018-07-18,749
2018-07-19,674
2018-07-20,830
2018-07-21,623
2018-07-22,102
2018-07-23,950
2018-07-24,685
2018-07-25,783
2018-07-26,665
2018-07-27,803
2018-07-28,682
2018-07-29,100
2018-07-30,985
2018-07-31,814
2018-08-01,815
2018-08-02,750
2018-08-03,809
2018-08-04,575
2018-08-05,92
2018-08-06,954
2018-08-07,797
2018-08-08,739
2018-08-09,782
2018-08-10,800
2018-08-11,656
2018-08-12,84
2018-08-13,997
2018-08-14,811
2018-08-15,140
2018-08-16,890
2018-08-17,826
2018-08-18,644
2018-08-19,77
2018-08-20,1015
2018-08-21,782
2018-08-22,815
2018-08-23,776
2018-08-24,774
2018-08-25,634
2018-08-26,88
2018-08-27,918
2018-08-28,667
2018-08-29,795
2018-08-30,750
2018-08-31,861
2018-09-01,649
2018-09-02,79
2018-09-03,916
2018-09-04,805
2018-09-05,841
2018-09-06,816
2018-09-07,919
2018-09-08,639
2018-09-09,93
2018-09-10,1048
