¿œ¿⁄,ºÆ≈∫
2015-01-01,98525
2015-01-02,115424
2015-01-03,117490
2015-01-04,112604
2015-01-05,117665
2015-01-06,117502
2015-01-07,118112
2015-01-08,118124
2015-01-09,117890
2015-01-10,117201
2015-01-11,113000
2015-01-12,117350
2015-01-13,117815
2015-01-14,106105
2015-01-15,106113
2015-01-16,114367
2015-01-17,116289
2015-01-18,107420
2015-01-19,115870
2015-01-20,117801
2015-01-21,117739
2015-01-22,117818
2015-01-23,118076
2015-01-24,115184
2015-01-25,101334
2015-01-26,115507
2015-01-27,116676
2015-01-28,118460
2015-01-29,117722
2015-01-30,118173
2015-01-31,117084
2015-02-01,116728
2015-02-02,118100
2015-02-03,118189
2015-02-04,118405
2015-02-05,118012
2015-02-06,118138
2015-02-07,118075
2015-02-08,116028
2015-02-09,117983
2015-02-10,118025
2015-02-11,117840
2015-02-12,118131
2015-02-13,118170
2015-02-14,118095
2015-02-15,115909
2015-02-16,116447
2015-02-17,117285
2015-02-18,108902
2015-02-19,98751
2015-02-20,97300
2015-02-21,109313
2015-02-22,108157
2015-02-23,114962
2015-02-24,117591
2015-02-25,117757
2015-02-26,117348
2015-02-27,115641
2015-02-28,93417
2015-03-01,94386
2015-03-02,113177
2015-03-03,114644
2015-03-04,111675
2015-03-05,96035
2015-03-06,94093
2015-03-07,94034
2015-03-08,92295
2015-03-09,93409
2015-03-10,94148
2015-03-11,94229
2015-03-12,94339
2015-03-13,93844
2015-03-14,89511
2015-03-15,99874
2015-03-16,100230
2015-03-17,96848
2015-03-18,107007
2015-03-19,105921
2015-03-20,106703
2015-03-21,106215
2015-03-22,102192
2015-03-23,105710
2015-03-24,107141
2015-03-25,107003
2015-03-26,106678
2015-03-27,106465
2015-03-28,107815
2015-03-29,109923
2015-03-30,112562
2015-03-31,115660
2015-04-01,116278
2015-04-02,117382
2015-04-03,116839
2015-04-04,111502
2015-04-05,109881
2015-04-06,111398
2015-04-07,112065
2015-04-08,112004
2015-04-09,111751
2015-04-10,110906
2015-04-11,111730
2015-04-12,109037
2015-04-13,108967
2015-04-14,105303
2015-04-15,104968
2015-04-16,113852
2015-04-17,117152
2015-04-18,116811
2015-04-19,113550
2015-04-20,115915
2015-04-21,117513
2015-04-22,117551
2015-04-23,115753
2015-04-24,110758
2015-04-25,111188
2015-04-26,110444
2015-04-27,116299
2015-04-28,117006
2015-04-29,118102
2015-04-30,117375
2015-05-01,116826
2015-05-02,114966
2015-05-03,113458
2015-05-04,111574
2015-05-05,110706
2015-05-06,114826
2015-05-07,117659
2015-05-08,117123
2015-05-09,118173
2015-05-10,113706
2015-05-11,116397
2015-05-12,116214
2015-05-13,104231
2015-05-14,103873
2015-05-15,104079
2015-05-16,98866
2015-05-17,96553
2015-05-18,97485
2015-05-19,88056
2015-05-20,87547
2015-05-21,88067
2015-05-22,87869
2015-05-23,93282
2015-05-24,97453
2015-05-25,98458
2015-05-26,99654
2015-05-27,87493
2015-05-28,96787
2015-05-29,100116
2015-05-30,110608
2015-05-31,113605
2015-06-01,115607
2015-06-02,116981
2015-06-03,116364
2015-06-04,116964
2015-06-05,117513
2015-06-06,117062
2015-06-07,113683
2015-06-08,116804
2015-06-09,117838
2015-06-10,117615
2015-06-11,117696
2015-06-12,117481
2015-06-13,116966
2015-06-14,114490
2015-06-15,115697
2015-06-16,116723
2015-06-17,117121
2015-06-18,117209
2015-06-19,116608
2015-06-20,116935
2015-06-21,112302
2015-06-22,115504
2015-06-23,117150
2015-06-24,116138
2015-06-25,111123
2015-06-26,105584
2015-06-27,104279
2015-06-28,107262
2015-06-29,107589
2015-06-30,104505
2015-07-01,103462
2015-07-02,103862
2015-07-03,103779
2015-07-04,99689
2015-07-05,96072
2015-07-06,102079
2015-07-07,104147
2015-07-08,103524
2015-07-09,104129
2015-07-10,103820
2015-07-11,102878
2015-07-12,97074
2015-07-13,102127
2015-07-14,103481
2015-07-15,104152
2015-07-16,101895
2015-07-17,101790
2015-07-18,100681
2015-07-19,98398
2015-07-20,98946
2015-07-21,99834
2015-07-22,99969
2015-07-23,100779
2015-07-24,100225
2015-07-25,99005
2015-07-26,95723
2015-07-27,98704
2015-07-28,100563
2015-07-29,103121
2015-07-30,103118
2015-07-31,103775
2015-08-01,100640
2015-08-02,99468
2015-08-03,103604
2015-08-04,112273
2015-08-05,108242
2015-08-06,112185
2015-08-07,116819
2015-08-08,112879
2015-08-09,104199
2015-08-10,106035
2015-08-11,110575
2015-08-12,112477
2015-08-13,110243
2015-08-14,109948
2015-08-15,108633
2015-08-16,104044
2015-08-17,106099
2015-08-18,106619
2015-08-19,108828
2015-08-20,110156
2015-08-21,105498
2015-08-22,104061
2015-08-23,91217
2015-08-24,101848
2015-08-25,110020
2015-08-26,100581
2015-08-27,106560
2015-08-28,99128
2015-08-29,90684
2015-08-30,84557
2015-08-31,103367
2015-09-01,114998
2015-09-02,115634
2015-09-03,115489
2015-09-04,114922
2015-09-05,110194
2015-09-06,102864
2015-09-07,109351
2015-09-08,109065
2015-09-09,101485
2015-09-10,101168
2015-09-11,101492
2015-09-12,101103
2015-09-13,98324
2015-09-14,101159
2015-09-15,101485
2015-09-16,100943
2015-09-17,101301
2015-09-18,101105
2015-09-19,101324
2015-09-20,97057
2015-09-21,98552
2015-09-22,101202
2015-09-23,101449
2015-09-24,101230
2015-09-25,101035
2015-09-26,90656
2015-09-27,73363
2015-09-28,76196
2015-09-29,85811
2015-09-30,96795
2015-10-01,98810
2015-10-02,96094
2015-10-03,80119
2015-10-04,86045
2015-10-05,94014
2015-10-06,89483
2015-10-07,87259
2015-10-08,83445
2015-10-09,80202
2015-10-10,77328
2015-10-11,71512
2015-10-12,77251
2015-10-13,75616
2015-10-14,79565
2015-10-15,82346
2015-10-16,97895
2015-10-17,100788
2015-10-18,97293
2015-10-19,94871
2015-10-20,89604
2015-10-21,95634
2015-10-22,95286
2015-10-23,96760
2015-10-24,90372
2015-10-25,88196
2015-10-26,86735
2015-10-27,86930
2015-10-28,97990
2015-10-29,94537
2015-10-30,81860
2015-10-31,76054
2015-11-01,72692
2015-11-02,84184
2015-11-03,91665
2015-11-04,85771
2015-11-05,86957
2015-11-06,85092
2015-11-07,82375
2015-11-08,77745
2015-11-09,86648
2015-11-10,98529
2015-11-11,99876
2015-11-12,100847
2015-11-13,93165
2015-11-14,74017
2015-11-15,74331
2015-11-16,81726
2015-11-17,83348
2015-11-18,82565
2015-11-19,82534
2015-11-20,82894
2015-11-21,76488
2015-11-22,72973
2015-11-23,84085
2015-11-24,94441
2015-11-25,97663
2015-11-26,97653
2015-11-27,100645
2015-11-28,97145
2015-11-29,96078
2015-11-30,97324
2015-12-01,100217
2015-12-02,100269
2015-12-03,100385
2015-12-04,97443
2015-12-05,98406
2015-12-06,99121
2015-12-07,101172
2015-12-08,101386
2015-12-09,101452
2015-12-10,100286
2015-12-11,99104
2015-12-12,100831
2015-12-13,95937
2015-12-14,103588
2015-12-15,101410
2015-12-16,108316
2015-12-17,113145
2015-12-18,113652
2015-12-19,112603
2015-12-20,108286
2015-12-21,111255
2015-12-22,113316
2015-12-23,112257
2015-12-24,111708
2015-12-25,107022
2015-12-26,106704
2015-12-27,105508
2015-12-28,112012
2015-12-29,113357
2015-12-30,112626
2015-12-31,112296
2016-01-01,91437
2016-01-02,90454
2016-01-03,102771
2016-01-04,112043
2016-01-05,113736
2016-01-06,113385
2016-01-07,113094
2016-01-08,113489
2016-01-09,113622
2016-01-10,103749
2016-01-11,113018
2016-01-12,113441
2016-01-13,113746
2016-01-14,113258
2016-01-15,113646
2016-01-16,113621
2016-01-17,111971
2016-01-18,112396
2016-01-19,112617
2016-01-20,112689
2016-01-21,113253
2016-01-22,113352
2016-01-23,113341
2016-01-24,113345
2016-01-25,113656
2016-01-26,113721
2016-01-27,113771
2016-01-28,113663
2016-01-29,113218
2016-01-30,113549
2016-01-31,111150
2016-02-01,112899
2016-02-02,113547
2016-02-03,111863
2016-02-04,107832
2016-02-05,102020
2016-02-06,101638
2016-02-07,94366
2016-02-08,68767
2016-02-09,72514
2016-02-10,88854
2016-02-11,111524
2016-02-12,112030
2016-02-13,112565
2016-02-14,108127
2016-02-15,112474
2016-02-16,107511
2016-02-17,97653
2016-02-18,101736
2016-02-19,102238
2016-02-20,103624
2016-02-21,104526
2016-02-22,107402
2016-02-23,107716
2016-02-24,108144
2016-02-25,108215
2016-02-26,107962
2016-02-27,107750
2016-02-28,104712
2016-02-29,107320
2016-03-01,96290
2016-03-02,96919
2016-03-03,96537
2016-03-04,96878
2016-03-05,96329
2016-03-06,89518
2016-03-07,94293
2016-03-08,96395
2016-03-09,96245
2016-03-10,96454
2016-03-11,96349
2016-03-12,96273
2016-03-13,92724
2016-03-14,94667
2016-03-15,96338
2016-03-16,96208
2016-03-17,95762
2016-03-18,95916
2016-03-19,95578
2016-03-20,87502
2016-03-21,93349
2016-03-22,95995
2016-03-23,96362
2016-03-24,96471
2016-03-25,95850
2016-03-26,95743
2016-03-27,86204
2016-03-28,88356
2016-03-29,94423
2016-03-30,95367
2016-03-31,83998
2016-04-01,83188
2016-04-02,71006
2016-04-03,70652
2016-04-04,72452
2016-04-05,72995
2016-04-06,83881
2016-04-07,87536
2016-04-08,89540
2016-04-09,85288
2016-04-10,83851
2016-04-11,84962
2016-04-12,85633
2016-04-13,85087
2016-04-14,74078
2016-04-15,74142
2016-04-16,73578
2016-04-17,66221
2016-04-18,71195
2016-04-19,73356
2016-04-20,75962
2016-04-21,85115
2016-04-22,84021
2016-04-23,83604
2016-04-24,80649
2016-04-25,83469
2016-04-26,83687
2016-04-27,84565
2016-04-28,75990
2016-04-29,78993
2016-04-30,81578
2016-05-01,71931
2016-05-02,70626
2016-05-03,73823
2016-05-04,80447
2016-05-05,87470
2016-05-06,86480
2016-05-07,75039
2016-05-08,74586
2016-05-09,84986
2016-05-10,80790
2016-05-11,74875
2016-05-12,68014
2016-05-13,81331
2016-05-14,69350
2016-05-15,66263
2016-05-16,75397
2016-05-17,78991
2016-05-18,81488
2016-05-19,82133
2016-05-20,78572
2016-05-21,76364
2016-05-22,71364
2016-05-23,76965
2016-05-24,78280
2016-05-25,87014
2016-05-26,84620
2016-05-27,84607
2016-05-28,81169
2016-05-29,88470
2016-05-30,78576
2016-05-31,83985
2016-06-01,88655
2016-06-02,88101
2016-06-03,88487
2016-06-04,80182
2016-06-05,79973
2016-06-06,74536
2016-06-07,79725
2016-06-08,79232
2016-06-09,78426
2016-06-10,78839
2016-06-11,74889
2016-06-12,69370
2016-06-13,75871
2016-06-14,83092
2016-06-15,86391
2016-06-16,84848
2016-06-17,66016
2016-06-18,60144
2016-06-19,59332
2016-06-20,64479
2016-06-21,68924
2016-06-22,68129
2016-06-23,67896
2016-06-24,69026
2016-06-25,60358
2016-06-26,57989
2016-06-27,67530
2016-06-28,78556
2016-06-29,88560
2016-06-30,91977
2016-07-01,94304
2016-07-02,90444
2016-07-03,76395
2016-07-04,80269
2016-07-05,79706
2016-07-06,82297
2016-07-07,97924
2016-07-08,86599
2016-07-09,87023
2016-07-10,81739
2016-07-11,98975
2016-07-12,105897
2016-07-13,110831
2016-07-14,112765
2016-07-15,115832
2016-07-16,99660
2016-07-17,100371
2016-07-18,102773
2016-07-19,102291
2016-07-20,101111
2016-07-21,102232
2016-07-22,105101
2016-07-23,97539
2016-07-24,100481
2016-07-25,111094
2016-07-26,107795
2016-07-27,124326
2016-07-28,118386
2016-07-29,106309
2016-07-30,98534
2016-07-31,92304
2016-08-01,98585
2016-08-02,102355
2016-08-03,105282
2016-08-04,105857
2016-08-05,98539
2016-08-06,102172
2016-08-07,105983
2016-08-08,112195
2016-08-09,113187
2016-08-10,110171
2016-08-11,113423
2016-08-12,114221
2016-08-13,108437
2016-08-14,102818
2016-08-15,106288
2016-08-16,113267
2016-08-17,110324
2016-08-18,112969
2016-08-19,117763
2016-08-20,124744
2016-08-21,119346
2016-08-22,130953
2016-08-23,125323
2016-08-24,111280
2016-08-25,111053
2016-08-26,103381
2016-08-27,97904
2016-08-28,91671
2016-08-29,93061
2016-08-30,92464
2016-08-31,89662
2016-09-01,95124
2016-09-02,100478
2016-09-03,97659
2016-09-04,104090
2016-09-05,104647
2016-09-06,100986
2016-09-07,105593
2016-09-08,100618
2016-09-09,107309
2016-09-10,100908
2016-09-11,92152
2016-09-12,100899
2016-09-13,96534
2016-09-14,86039
2016-09-15,84953
2016-09-16,84551
2016-09-17,84357
2016-09-18,84770
2016-09-19,95379
2016-09-20,95273
2016-09-21,95743
2016-09-22,95225
2016-09-23,94507
2016-09-24,91732
2016-09-25,82286
2016-09-26,90214
2016-09-27,91294
2016-09-28,92112
2016-09-29,94403
2016-09-30,112629
2016-10-01,107807
2016-10-02,104457
2016-10-03,105875
